id,New-Identifiers-words-AVG,New-Identifiers-words-MIN,New-Abstractness-words-AVG,New-Abstractness-words-MAX,New-Abstractness-words-MIN,New-Commented-words-AVG,New-Commented-words-MAX,New-Synonym-commented-words-AVG,New-Synonym-commented-words-MAX,New-Comments-readability,New-Number-of-senses-AVG,New-Number-of-senses-MAX,New-Semantic-Text-Coherence-Standard-@-0.1,New-Semantic-Text-Coherence-Normalized-@-0.3,New-Text-Coherence-AVG,New-Text-Coherence-MIN,New-Text-Coherence-MAX,BW-Avg-Assignment,BW-Avg-blank-lines,BW-Avg-commas,BW-Avg-comments,BW-Avg-comparisons,BW-Avg-Identifiers-Length,BW-Avg-conditionals,BW-Avg-indentation-length,BW-Avg-keywords,BW-Avg-line-length,BW-Avg-loops,BW-Avg-number-of-identifiers,BW-Avg-numbers,BW-Avg-operators,BW-Avg-parenthesis,BW-Avg-periods,BW-Avg-spaces,BW-Max-Identifiers-Length,BW-Max-indentation,BW-Max-keywords,BW-Max-line-length,BW-Max-number-of-identifiers,BW-Max-numbers,BW-Max-char,BW-Max-words,Posnett-entropy,Posnett-volume,Posnett-lines,Dorn-DFT-Assignments,Dorn-DFT-Commas,Dorn-DFT-Comments,Dorn-DFT-Comparisons,Dorn-DFT-Conditionals,Dorn-DFT-Indentations,Dorn-DFT-Keywords,Dorn-DFT-LineLengths,Dorn-DFT-Loops,Dorn-DFT-Identifiers,Dorn-DFT-Numbers,Dorn-DFT-Operators,Dorn-DFT-Parenthesis,Dorn-DFT-Periods,Dorn-DFT-Spaces,Dorn-Visual-X-Comments,Dorn-Visual-Y-Comments,Dorn-Visual-X-Identifiers,Dorn-Visual-Y-Identifiers,Dorn-Visual-X-Keywords,Dorn-Visual-Y-Keywords,Dorn-Visual-X-Numbers,Dorn-Visual-Y-Numbers,Dorn-Visual-X-Strings,Dorn-Visual-Y-Strings,Dorn-Visual-X-Literals,Dorn-Visual-Y-Literals,Dorn-Visual-X-Operators,Dorn-Visual-Y-Operators,Dorn-Areas-Comments,Dorn-Areas-Identifiers,Dorn-Areas-Keywords,Dorn-Areas-Numbers,Dorn-Areas-Strings,Dorn-Areas-Literals,Dorn-Areas-Operators,Dorn-Areas-Identifiers/Comments,Dorn-Areas-Keywords/Comments,Dorn-Areas-Numbers/Comments,Dorn-Areas-Strings/Comments,Dorn-Areas-Literals/Comments,Dorn-Areas-Operators/Comments,Dorn-Areas-Keywords/Identifiers,Dorn-Areas-Numbers/Identifiers,Dorn-Areas-Strings/Identifiers,Dorn-Areas-Literals/Identifiers,Dorn-Areas-Operators/Identifiers,Dorn-Areas-Numbers/Keywords,Dorn-Areas-Strings/Keywords,Dorn-Areas-Literals/Keywords,Dorn-Areas-Operators/Keywords,Dorn-Areas-Strings/Numbers,Dorn-Areas-Literals/Numbers,Dorn-Areas-Operators/Numbers,Dorn-Areas-Literals/Strings,Dorn-Areas-Operators/Strings,Dorn-Areas-Operators/Literals,Dorn-align-blocks,Dorn-align-extent,Readable
1,0.875,0,3.695652,12,0,0.416667,1,2.382353,5,27.485,17.125,57,6,0.75,0.654965,0.485071,0.83666,0.071429,0,0.071429,0.066667,0,5.684211,0,14,0.714286,28.857143,0,1.5,0,0,0.785714,0.285714,15.357143,15,60,4,77,5,0,222,6,3.602906,298.056005,16,14,14,16,1,1,14,14,16,1,14,1,1,14,14,14,67,14.955882,66.875,14.852941,67,14.852941,0,0,0,0,0,0,66.9375,14.897059,0.177189,0.219959,0.095723,0,0,0,0.069246,1.241379,0.54023,0,0,0,0.390805,0.435185,0,0,0,0.314815,0,0,0,0.723404,?,?,?,?,?,?,5,6,1
2,0.836364,0,4.979798,9,0,0.1,2,4.242424,12,100,8.881818,45,18,0.888889,0.471193,0.235702,0.916667,0.111111,0,0.037037,0.129032,0.185185,7.435897,0.074074,10.222222,0.814815,45.444444,0,3,0.074074,0.518519,1.592593,0.259259,14.037037,25,20,2,125,12,1,409,14,4.255526,1231.159243,30,27,27,30,27,27,27,22,29,1,26,27,27,27,27,1,125,29,124.966667,28.65873,124.966667,28.769841,125,29,125,28.873016,0,0,124.8,28.674603,0.093865,0.348854,0.067997,0.001478,0.133038,0,0.091648,3.716535,0.724409,0.015748,1.417323,0,0.976378,0.194915,0.004237,0.381356,0,0.262712,0.021739,1.956522,0,1.347826,90,0,62,0,0.688889,?,18,21,0
3,0.977654,0,3.942857,10,0,0.290503,2,2.985222,25,100,7.75419,21,24,0.333333,0,1,0,0.807692,0,0.038462,0.235294,0,11.336957,0,7.384615,0.923077,59.423077,0,3.5,0,0.038462,0.923077,1.653846,9.230769,22,8,2,73,4,0,305,42,4.451111,1339.388001,33,26,26,33,1,1,1,1,1,1,1,1,26,1,26,1,71.757576,32,73.969697,31.973333,74,31.96,0,0,0,0,0,0,72.727273,31.96,0.147504,0.584969,0.056646,0,0,0,0.075715,3.965779,0.38403,0,0,0,0.513308,0.096836,0,0,0,0.129434,0,0,0,1.336634,?,?,?,?,?,?,103,300,0
4,0.944444,0,5.171429,10,0,0.388889,3,3.815789,14,100,10.833333,45,10,1,0,1,0,0,0,0.8,0.25,0,11.882353,0,8.266667,0.133333,29.333333,0,1.066667,0,0.066667,0.2,0,12.933333,27,12,1,106,5,0,232,8,4.214214,157.173318,24,1,15,24,1,1,15,15,24,1,15,1,15,15,1,15,60.958333,22.919355,61,22.951613,61,22.467742,0,0,0,0,0,0,60.791667,22.919355,0.280405,0.341216,0.016892,0,0,0,0.032095,1.216867,0.060241,0,0,0,0.114458,0.049505,0,0,0,0.094059,0,0,0,1.9,?,?,?,?,?,?,36,122,1
5,0.92,0,5.358696,11,0,0.5,2,2.962617,10,31.545,6.14,51,18,0.681818,0,1,0,0.08,0,0.48,0.107143,0,13.644444,0,11.84,0.28,42.2,0,1.8,0.28,0.08,0.4,0.72,12.4,30,20,2,79,4,2,326,23,4.427986,564.221132,27,25,25,27,1,1,1,25,1,1,1,1,25,23,25,1,78.925926,25.875,78.962963,25.6875,78.962963,25.9,0,0,79,25.55,0,0,78.925926,25.5625,0.094107,0.532102,0.030783,0,0.01759,0,0.051891,5.654206,0.327103,0,0.186916,0,0.551402,0.057851,0,0.033058,0,0.097521,0,0.571429,0,1.685714,?,?,?,0,2.95,?,23,25,1
6,0.647059,0,3.5625,10,0,0.058824,1,1.16,4,100,7.352941,20,7,0.875,0.716133,0.6742,0.8,0.142857,0,0,0.263158,0.142857,3.071429,0.142857,1.714286,0.571429,12,0,0.928571,0,0.071429,0.428571,0,3.071429,7,4,3,37,2,0,72,4,4.35683,181.52098,18,14,1,18,14,14,13,14,18,1,13,1,14,14,1,13,48.333333,16.980769,51,16.576923,50.888889,16.596154,0,0,0,0,51,16.019231,51,16.519231,0.351779,0.162055,0.15415,0,0,0.031621,0.090909,0.460674,0.438202,0,0,0.089888,0.258427,0.95122,0,0,0.195122,0.560976,0,0,0.205128,0.589744,?,?,?,?,?,2.875,2,4,1
7,0.89011,0,5.650602,12,0,0.461538,3,4.548077,12,100,7.21978,37,19,0.9,0.511929,0.131306,0.909718,0.15625,0,0.125,0.135135,0,6.575342,0.03125,4.875,0.40625,28.90625,0.03125,2.34375,0.0625,0.375,0.8125,0.46875,7.21875,24,12,3,78,8,1,267,11,4.641064,998.962546,36,32,32,36,1,32,32,32,36,32,32,1,29,32,32,32,78,34.898734,77.944444,34.78481,77.888889,34.78481,0,0,78,34.886076,0,0,77.861111,34.848101,0.111748,0.400191,0.048711,0,0.105062,0,0.094556,3.581197,0.435897,0,0.940171,0,0.846154,0.121718,0,0.26253,0,0.236277,0,2.156863,0,1.941176,?,?,?,0,0.9,?,9,11,0
8,0.580952,0,4.486842,9,0,0.066667,1,3,13,0,7,45,21,0.833333,0.430186,0.129099,0.768706,0.212121,0,0.121212,0.029412,0,5.68,0.181818,11.757576,0.333333,32.666667,0.030303,2.242424,0.030303,0,1.181818,0.757576,13.030303,18,20,2,63,7,1,430,8,4.051509,1197.092341,33,33,33,33,1,33,33,31,1,33,33,33,1,33,33,33,0,0,62.969697,31.75,63,31.71875,63,32,62.909091,31.84375,0,0,62.969697,31.59375,0,0.381089,0.0468,0.000955,0.04107,0,0.117479,?,?,?,?,?,?,0.122807,0.002506,0.107769,0,0.308271,0.020408,0.877551,0,2.510204,43,0,123,0,2.860465,?,22,25,0
9,0.762712,0,6.018519,10,0,0.542373,4,3.617647,12,100,5.457627,37,16,0.941176,0.887976,0.834058,0.970143,0.227273,0,0.272727,0.241379,0.136364,6.731707,0.090909,8.909091,0.409091,28.772727,0.045455,1.818182,0.181818,0.181818,0.545455,0.181818,10.636364,24,32,2,80,7,3,318,7,4.317784,594.688273,32,22,21,32,22,22,22,22,31,22,22,22,21,22,22,22,79.9375,30.91358,79.9375,30.82716,79.96875,30.864198,80,31,0,0,0,0,79.90625,30.864198,0.386064,0.262712,0.02919,0.000942,0,0,0.062147,0.680488,0.07561,0.002439,0,0,0.160976,0.111111,0.003584,0,0,0.236559,0.032258,0,0,2.129032,0,0,66,?,?,?,40,47,1
10,0.788235,0,5.152778,10,0,0.023529,1,1.71134,7,0,9,45,16,0.823529,0.436569,0.196116,1,0.32,0,0,0.038462,0.2,6.660714,0.2,4.96,0.48,28.88,0,2.2,0.08,0.2,1.04,0.52,7.12,20,16,2,71,7,1,178,7,4.579602,884.427922,25,25,1,25,25,25,23,25,1,1,24,25,25,24,24,23,0,0,71.96,23.753425,71.88,23.876712,72,24,72,24,0,0,71.96,23.739726,0,0.517532,0.058906,0.002805,0.015428,0,0.137447,?,?,?,?,?,?,0.113821,0.00542,0.02981,0,0.265583,0.047619,0.261905,0,2.333333,5.5,0,49,0,8.909091,?,13,14,0
